timestamp,city,From Date,PM10 (ug/m3),PM2.5 (ug/m3),NO (mg/m3),NO2 (mg/m3),NOx (mg/m3),NH3 (mg/m3),SO2 (ug/m3),CO (mg/m3),AT (degree C)
2019-08-06 13:00:00,Chandigarh,2019-08-06 13:00:00,39.18,2.58,0.010289999999999999,0.00744,0.0192888,0.00093,1.34,0.43,29.57
2019-08-06 14:00:00,Chandigarh,2019-08-06 14:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-06 15:00:00,Chandigarh,2019-08-06 15:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-06 16:00:00,Chandigarh,2019-08-06 16:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-06 17:00:00,Chandigarh,2019-08-06 17:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-06 18:00:00,Chandigarh,2019-08-06 18:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-06 19:00:00,Chandigarh,2019-08-06 19:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-06 20:00:00,Chandigarh,2019-08-06 20:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-06 21:00:00,Chandigarh,2019-08-06 21:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-06 22:00:00,Chandigarh,2019-08-06 22:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-06 23:00:00,Chandigarh,2019-08-06 23:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-07 00:00:00,Chandigarh,2019-08-07 00:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-07 01:00:00,Chandigarh,2019-08-07 01:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-07 02:00:00,Chandigarh,2019-08-07 02:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-07 03:00:00,Chandigarh,2019-08-07 03:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-07 04:00:00,Chandigarh,2019-08-07 04:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-07 05:00:00,Chandigarh,2019-08-07 05:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-07 06:00:00,Chandigarh,2019-08-07 06:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
2019-08-07 07:00:00,Chandigarh,2019-08-07 07:00:00,48.52,2.58,0.010289999999999999,0.00744,0.0,0.00093,47.47,0.45,29.62
